"排序","操作系统","浏览量占比",
"0","Win 7","61.83%",
"1","Win XP","17.57%",
"2","Win 10","11.22%",
"3","Win 8","4.18%",
"4","其他","5.2%",

"Win 7操作系统2017.07.01~2017.09.30浏览量占比"
时间,浏览量占比
="2017.08.27","5.91%",
="2017.08.28","0.00%",
="2017.08.29","5.06%",
="2017.08.30","5.08%",
="2017.08.31","5.03%",
="2017.09.01","5.05%",
="2017.09.02","5.83%",
="2017.09.03","6.22%",
="2017.09.04","5.22%",
="2017.09.05","5.32%",
="2017.09.06","5.15%",
="2017.09.07","5.30%",
="2017.09.08","5.28%",
="2017.09.09","6.15%",
="2017.09.10","6.76%",
="2017.09.11","5.49%",
="2017.09.12","5.63%",
="2017.09.13","5.71%",
="2017.09.14","5.42%",
="2017.09.15","5.37%",
="2017.09.16","6.17%",
="2017.09.17","6.54%",
="2017.09.18","0.00%",
="2017.09.19","5.26%",
="2017.09.20","5.18%",
="2017.09.21","5.06%",
="2017.09.22","4.98%",
="2017.09.23","5.60%",
="2017.09.24","5.94%",
="2017.09.25","5.04%",
="2017.09.26","5.03%",
="2017.09.27","5.09%",
="2017.09.28","5.10%",
="2017.09.29","5.13%",
="2017.09.30","5.32%",

